incident_county,incident_latitude,incident_longitude,incident_dateonly_created,Population
31,33.9634,-117.2508,7,2450758
31,33.94528,-117.09306000000001,7,2450758
4,37.965364,-120.69636200000001,7,45602
52,38.25108,-120.02778,8,54539
31,33.62236,-117.40288000000001,8,2450758
31,38.838,-116.61,8,2450758
15,39.1591,-122.5906,8,64382
31,33.86157,-116.90427,8,2450758
11,41.035,-123.488,8,136373
44,41.923322999999996,-122.57839299999999,8,43724
8,38.682378,-120.839075,8,190678
34,34.35,-117.62,8,2171603
42,40.473356,-122.48258999999999,8,180040
3,39.446267999999996,-121.38236,8,231256
29,39.12,-120.65,8,393149
16,40.88886,-120.95812600000001,8,30802
31,33.570291,-116.10815,8,2450758
15,39.013682,-122.49189399999999,8,64382
4,38.06231,-120.45233,8,45602
34,34.287,-117.45100000000001,8,2171603
42,40.498332,-122.535496,9,180040
30,40.00842,-120.76466599999999,8,18804
13,35.707,-118.588,8,896764
42,40.5445,-121.3754,8,180040
34,34.2,-117.417,9,2171603
49,40.042629999999996,-121.85396999999999,8,63916
34,34.302,-117.598,8,2171603
51,36.208,-118.444,8,465861
8,38.89555,-120.84716,8,190678
34,33.641999999999996,-116.706,8,2171603
38,37.667295,-122.42728500000001,9,769545
6,37.90757,-121.88258200000001,9,1150215
51,36.258,-118.459,9,465861
34,34.003151,-117.106075,9,2171603
17,34.149,-117.90799999999999,9,10105518
23,41.73325,-120.375,9,8777
27,39.333401,-121.107022,8,99696
3,39.731878,-121.71393799999998,8,231256
23,41.568999999999996,-120.959,9,8777
52,37.857,-120.086,8,54539
35,32.710918,-116.746023,9,3343364
15,38.9777,-122.68299999999999,9,64382
37,35.4393,-120.8358,9,284010
21,38.9252,-122.96600000000001,9,87606
26,38.628,-122.289,10,139417
46,38.34599,-122.6503,10,499942
35,33.341,-117.3092,10,3343364
3,39.439,-121.49700000000001,10,231256
28,33.7655,-117.6649,10,3185968
54,38.67479,-122.08725,11,220408
42,40.483662,-122.140914,11,180040
37,35.457978000000004,-120.75155500000001,11,284010
15,38.882214000000005,-122.567525,11,64382
26,38.382,-122.311,11,139417
53,34.384,-119.13248999999999,11,850967
21,39.0442,-123.1478,11,87606
46,38.8167,-122.8498,11,499942
15,39.0448,-122.7656,11,64382
15,38.9289,-122.5818,11,64382
40,37.342186,-121.717706,12,1937570
49,40.134597,-121.79018300000001,1,63916
17,34.1703,-117.8816,1,10105518
11,40.884415000000004,-123.773779,1,136373
9,36.8266,-119.3415,1,994400
35,32.81,-116.49,3,3343364
25,36.6313,-121.4819,3,435594
31,33.5982,-116.1985,3,2450758
12,37.399,-118.352,4,17987
34,34.169346000000004,-117.547374,4,2171603
35,32.665,-116.22200000000001,5,3343364
35,33.003,-117.133,5,3343364
25,36.103,-121.117,4,435594
39,34.609,-120.454,5,446527
35,33.3529,-117.28488899999999,5,3343364
35,33.417572,-117.55056699999999,5,3343364
35,33.312,-117.162,5,3343364
42,40.39,-122.721,5,180040
35,33.1137,-117.1599,5,3343364
35,33.1109,-117.279,5,3343364
15,39.1647,-122.5983,5,64382
52,37.76617,-120.45087,6,54539
52,37.787,-120.45200000000001,6,54539
9,36.742746999999994,-119.24149299999999,6,994400
9,36.991825,-119.52550600000001,6,994400
45,121.999,38.453,6,446610
20,37.7103,-120.197,6,17471
13,35.70683,-118.555527,6,896764
49,40.009827,-122.345078,6,63916
4,120.679019,38.178241,6,45602
4,38.058,-120.66,6,45602
26,38.664,-122.454,7,139417
15,38.664,-122.454,7,64382
8,38.608336,-120.70323799999998,7,190678
42,40.4314,-122.75078799999999,7,180040
54,38.512,-122.104,7,220408
23,41.489,-120.904,7,8777
23,41.89,-120.79,7,8777
50,40.41,-123.24,7,12535
35,33.078948,-116.576454,7,3343364
6,37.5359,-121.5118,7,1150215
42,40.5719,-121.3415,7,180040
37,35.8218,-121.0226,7,284010
27,39.1871,-121.2687,7,99696
